Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,01-Apr-2024,25-Apr-2024,CE,23100.00,87.65,100.40,68.40,73.05,74.00,73.05,16918.00,196099.11,696.21,454650.00,31150.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23150.00,80.65,86.85,58.30,62.45,62.95,62.45,4623.00,53671.08,159.86,56650.00,12800.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23200.00,51.10,75.55,48.90,52.90,54.00,52.90,30718.00,357251.52,922.72,768750.00,233650.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23250.00,62.25,65.95,41.85,44.75,45.20,44.75,4089.00,47637.91,103.28,70700.00,30400.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23300.00,59.90,59.90,35.75,38.20,39.05,38.20,32331.00,377396.71,740.56,771350.00,232300.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23350.00,46.45,49.35,30.00,31.25,31.70,31.25,6211.00,72626.74,113.32,65950.00,49200.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23400.00,38.35,43.10,24.55,25.95,25.90,25.95,28421.00,332956.07,430.37,692850.00,275250.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23450.00,34.35,37.05,20.60,21.20,21.30,21.20,12340.00,144837.56,151.06,179600.00,151450.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23500.00,30.00,32.00,17.35,18.00,19.40,18.00,73698.00,866794.59,843.09,2249600.00,932850.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23550.00,25.35,27.25,15.00,15.35,15.70,15.35,2805.00,33055.20,26.33,39700.00,15200.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23600.00,19.85,23.10,12.05,12.60,12.40,12.60,14564.00,171974.87,119.67,322950.00,114700.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23650.00,19.10,19.65,10.90,11.55,11.30,11.55,3702.00,43800.97,24.82,57150.00,33000.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23700.00,15.10,16.95,8.80,9.30,9.35,9.30,16970.00,201199.52,105.02,587100.00,-15350.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23750.00,15.20,18.40,7.45,8.45,8.50,8.45,3214.00,38186.29,20.04,21950.00,5000.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23800.00,10.40,16.60,7.35,7.70,7.50,7.70,13787.00,164135.25,69.95,306900.00,22750.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23850.00,12.95,12.95,6.80,7.35,6.80,7.35,295.00,3519.26,1.39,13550.00,1400.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23900.00,10.95,19.00,6.35,6.60,6.50,6.60,8455.00,101076.76,39.51,259500.00,40450.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23950.00,11.35,11.35,5.55,6.50,6.75,6.50,402.00,4815.57,1.62,15600.00,1900.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,24000.00,9.85,13.00,6.20,6.55,6.40,6.55,24999.00,300089.27,101.27,1723700.00,8300.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,24050.00,10.40,10.90,5.75,6.10,6.20,6.10,108.00,1299.10,0.40,6150.00,750.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,24100.00,10.90,10.90,5.80,5.90,6.15,5.90,1957.00,23588.76,6.91,63150.00,-3900.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,24150.00,10.20,10.20,5.50,5.65,5.90,5.65,256.00,3092.09,0.89,9300.00,3600.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,24200.00,9.50,9.70,5.20,5.35,5.55,5.35,4703.00,56921.21,14.91,212000.00,35700.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,24250.00,7.15,10.85,4.20,4.65,4.65,4.65,4052.00,49141.68,11.18,150550.00,67900.00,22462.00
NIFTY,02-Apr-2024,25-Apr-2024,CE,19600.00,2947.00,2952.95,2923.00,2952.60,2952.65,2952.60,26.00,293.10,38.30,197150.00,1000.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,19650.00,-,-,-,2845.00,2845.00,2892.80,-,-,-,250.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,19700.00,-,-,-,2750.00,2750.00,2843.00,-,-,-,3950.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,19750.00,-,-,-,2860.00,2860.00,2793.25,-,-,-,200.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,19800.00,2671.30,2671.30,2671.30,2671.30,2671.30,2743.50,1.00,11.24,1.34,6800.00,50.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,19850.00,-,-,-,2750.75,2752.00,2693.70,-,-,-,1850.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,19900.00,2685.00,2685.00,2685.00,2685.00,2685.00,2643.95,1.00,11.29,1.34,4800.00,50.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,19950.00,-,-,-,2550.70,2550.70,2594.20,-,-,-,100.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20000.00,2550.00,2590.15,2497.00,2560.40,2557.00,2560.40,3977.00,44823.73,5053.73,1472750.00,-70850.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20050.00,-,-,-,2299.50,2299.50,2494.70,-,-,-,250.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20100.00,-,-,-,2352.50,2355.00,2445.00,-,-,-,3100.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20150.00,-,-,-,2300.00,2300.00,2395.25,-,-,-,300.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20200.00,2357.05,2387.90,2300.00,2387.90,2387.90,2387.90,5.00,56.39,5.89,7500.00,-50.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20250.00,-,-,-,1591.85,-,2295.85,-,-,-,-,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20300.00,-,-,-,2269.95,2269.95,2246.15,-,-,-,13350.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20350.00,-,-,-,1511.75,-,2196.50,-,-,-,-,-,22453.30
